epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.7911,1.92308,2.65556,2.7655,0.3995,0.33849,0.38384,0.20302,0.9606,2.05235,2.33656,0.00028,0.00028,0.00028
2,138.404,1.42594,1.74307,2.46667,0.51989,0.71567,0.62496,0.38824,0.91431,1.2999,2.06161,0.000574258,0.000574258,0.000574258
3,205.766,1.26822,1.31986,2.22264,0.70438,0.76506,0.74597,0.48772,1.04046,1.53779,2.34392,0.000862576,0.000862576,0.000862576
4,274.288,1.23667,1.18809,2.27209,0.77025,0.73923,0.756,0.54675,0.92456,1.47641,2.14069,0.00114495,0.00114495,0.00114495
5,335.365,1.24506,1.16452,2.18639,0.74655,0.75435,0.78906,0.56231,0.89694,1.3748,2.0377,0.00142139,0.00142139,0.00142139
6,398.319,1.11498,0.97944,2.20429,0.71436,0.73114,0.7553,0.51137,0.88686,1.28826,2.07183,0.00169189,0.00169189,0.00169189
7,460.287,1.17117,1.0308,2.15581,0.75317,0.81238,0.83115,0.60192,0.79675,1.03883,1.967,0.0018812,0.0018812,0.0018812
8,524.677,1.06725,0.89302,2.12822,0.61507,0.80077,0.72302,0.48719,0.9373,1.14341,2.09685,0.0018614,0.0018614,0.0018614
9,589.467,1.08435,0.88311,2.09684,0.70794,0.75048,0.77176,0.55835,0.79854,0.8922,2.01756,0.0018416,0.0018416,0.0018416
10,653.378,1.04137,0.89182,2.10389,0.71289,0.76364,0.78351,0.60447,0.71567,0.86994,1.92484,0.0018218,0.0018218,0.0018218
11,717.817,1.00257,0.84041,2.09096,0.7909,0.82671,0.83194,0.61919,0.77351,1.01405,1.97513,0.001802,0.001802,0.001802
12,780.564,0.99993,0.81266,2.0337,0.7977,0.88008,0.85024,0.6785,0.63319,0.67259,1.87489,0.0017822,0.0017822,0.0017822
13,843.266,0.92058,0.74828,2.04499,0.82385,0.86843,0.85144,0.67255,0.8436,0.86093,2.1036,0.0017624,0.0017624,0.0017624
14,906.683,0.97671,0.75001,2.02142,0.80542,0.85106,0.85135,0.68833,0.63251,0.62816,1.92455,0.0017426,0.0017426,0.0017426
15,971.485,0.99866,0.80516,1.9874,0.76951,0.83949,0.84237,0.67809,0.66251,0.70783,1.88,0.0017228,0.0017228,0.0017228
16,1035.82,0.91771,0.74287,2.03538,0.81103,0.86654,0.88258,0.71909,0.65638,0.74775,1.81696,0.001703,0.001703,0.001703
17,1116.74,0.9189,0.7684,2.00038,0.80891,0.92522,0.87773,0.75245,0.61178,0.61801,1.80486,0.0016832,0.0016832,0.0016832
18,1195.15,0.93927,0.74432,1.91708,0.7942,0.8584,0.85855,0.72189,0.58074,0.61237,1.81376,0.0016634,0.0016634,0.0016634
19,1259.03,0.87894,0.70899,1.95879,0.77156,0.77369,0.8114,0.64811,0.78919,0.9424,2.16402,0.0016436,0.0016436,0.0016436
20,1326.19,0.85533,0.6911,2.02297,0.8397,0.93213,0.88189,0.7422,0.60257,0.53094,1.78529,0.0016238,0.0016238,0.0016238
21,1392.86,0.81823,0.67421,1.96264,0.82136,0.80932,0.86671,0.72045,0.59563,0.59329,1.75199,0.001604,0.001604,0.001604
22,1463.12,0.81689,0.64721,1.96581,0.7947,0.88975,0.88347,0.73258,0.61453,0.57631,1.79981,0.0015842,0.0015842,0.0015842
23,1533.24,0.8014,0.63187,1.85341,0.84402,0.90011,0.8819,0.73793,0.63316,0.57233,1.83164,0.0015644,0.0015644,0.0015644
24,1602.12,0.79907,0.61755,1.88004,0.86241,0.88506,0.90016,0.72778,0.63451,0.52631,1.79852,0.0015446,0.0015446,0.0015446
25,1673.95,0.78665,0.61142,1.92215,0.78187,0.88745,0.87199,0.69916,0.80291,0.9444,2.053,0.0015248,0.0015248,0.0015248
26,1746.02,0.7813,0.58681,1.90676,0.84128,0.91246,0.90157,0.74669,0.58293,0.5174,1.75095,0.001505,0.001505,0.001505
27,1811.56,0.73405,0.59646,1.8951,0.82102,0.91389,0.90223,0.77223,0.56708,0.46467,1.72502,0.0014852,0.0014852,0.0014852
28,1876.68,0.77109,0.58627,1.89699,0.85709,0.88201,0.8915,0.73517,0.5886,0.5507,1.80744,0.0014654,0.0014654,0.0014654
29,1971.74,0.75579,0.56047,1.89549,0.86941,0.87234,0.90422,0.75835,0.58031,0.54364,1.72327,0.0014456,0.0014456,0.0014456
30,2106.14,0.79831,0.5888,1.93683,0.85028,0.85687,0.88137,0.76449,0.58543,0.52227,1.73396,0.0014258,0.0014258,0.0014258
31,2297.95,0.72045,0.56035,1.92342,0.86306,0.88987,0.87466,0.76263,0.55886,0.50314,1.76019,0.001406,0.001406,0.001406
32,2428.01,0.6958,0.55733,1.80772,0.88567,0.89899,0.88261,0.75709,0.5675,0.46645,1.75316,0.0013862,0.0013862,0.0013862
33,2511.93,0.73839,0.57223,1.89155,0.86657,0.87427,0.87879,0.73763,0.57837,0.49179,1.96189,0.0013664,0.0013664,0.0013664
34,2569.53,0.75498,0.57903,1.89337,0.86403,0.89727,0.8983,0.76465,0.50346,0.48771,1.6923,0.0013466,0.0013466,0.0013466
35,2693.24,0.70794,0.55031,1.81766,0.87535,0.89646,0.91453,0.78195,0.51707,0.48767,1.75684,0.0013268,0.0013268,0.0013268
36,2777.75,0.71844,0.56703,1.83944,0.87465,0.91683,0.92781,0.79333,0.51446,0.43962,1.72716,0.001307,0.001307,0.001307
37,2843.77,0.71915,0.54237,1.83629,0.88562,0.91357,0.92705,0.76962,0.51596,0.45026,1.7237,0.0012872,0.0012872,0.0012872
38,2901.35,0.73482,0.55188,1.91063,0.86852,0.94548,0.92352,0.80715,0.5161,0.44557,1.70658,0.0012674,0.0012674,0.0012674
39,2959.93,0.67603,0.51253,1.84469,0.85581,0.90522,0.89279,0.76129,0.75369,0.65715,1.98872,0.0012476,0.0012476,0.0012476
40,3015.5,0.6806,0.53106,1.79777,0.87559,0.89555,0.88973,0.75756,0.63976,0.56107,1.85917,0.0012278,0.0012278,0.0012278
41,3068.53,0.67403,0.52256,1.8735,0.85853,0.89213,0.88592,0.78313,0.45665,0.44589,1.69189,0.001208,0.001208,0.001208
42,3137.9,0.6681,0.50629,1.78892,0.8755,0.89772,0.89842,0.79205,0.48298,0.44023,1.69736,0.0011882,0.0011882,0.0011882
43,3192.55,0.6881,0.50536,1.77193,0.87226,0.92454,0.90014,0.79363,0.49396,0.45374,1.6627,0.0011684,0.0011684,0.0011684
44,3244.92,0.69348,0.53559,1.83353,0.83141,0.92529,0.89295,0.79806,0.44477,0.45472,1.64044,0.0011486,0.0011486,0.0011486
45,3298.12,0.68601,0.53899,1.80531,0.85098,0.90522,0.89706,0.80896,0.48047,0.46962,1.64919,0.0011288,0.0011288,0.0011288
46,3351.16,0.65261,0.51509,1.7598,0.86626,0.91456,0.90445,0.81623,0.46949,0.45464,1.60517,0.001109,0.001109,0.001109
47,3419.88,0.61571,0.47767,1.78036,0.87233,0.9207,0.91163,0.82043,0.50205,0.48373,1.78348,0.0010892,0.0010892,0.0010892
48,3473.33,0.65044,0.49215,1.78825,0.87167,0.9381,0.92892,0.83637,0.48617,0.44176,1.67277,0.0010694,0.0010694,0.0010694
49,3524.54,0.59278,0.46925,1.73476,0.85529,0.93743,0.92285,0.82227,0.50252,0.45767,1.70555,0.0010496,0.0010496,0.0010496
50,3576,0.63608,0.47238,1.78332,0.84807,0.92855,0.91067,0.81576,0.48304,0.45329,1.72581,0.0010298,0.0010298,0.0010298
51,3629.09,0.62101,0.49516,1.84719,0.85949,0.93037,0.92053,0.83429,0.43249,0.42463,1.72439,0.00101,0.00101,0.00101
52,3696.6,0.60745,0.4703,1.71128,0.87144,0.93424,0.92016,0.83536,0.43915,0.41975,1.64227,0.0009902,0.0009902,0.0009902
53,3773.21,0.6235,0.49917,1.81803,0.88947,0.93391,0.92128,0.83776,0.42424,0.40251,1.6123,0.0009704,0.0009704,0.0009704
54,3849.46,0.63353,0.47772,1.73105,0.89649,0.94197,0.92688,0.84104,0.39869,0.36929,1.61381,0.0009506,0.0009506,0.0009506
55,3921.39,0.61358,0.48824,1.77031,0.88454,0.93037,0.92625,0.83013,0.45384,0.42489,1.65891,0.0009308,0.0009308,0.0009308
56,3997.83,0.61032,0.48606,1.792,0.88433,0.93162,0.92876,0.8442,0.40737,0.41741,1.55928,0.000911,0.000911,0.000911
57,4050.98,0.59168,0.47831,1.77881,0.89647,0.92113,0.93292,0.85486,0.40222,0.39244,1.54867,0.0008912,0.0008912,0.0008912
58,4109.34,0.58945,0.45129,1.73538,0.87883,0.94391,0.93067,0.85985,0.41617,0.37989,1.56359,0.0008714,0.0008714,0.0008714
59,4166.19,0.60137,0.46211,1.76648,0.87455,0.94197,0.92616,0.85408,0.38572,0.38151,1.54487,0.0008516,0.0008516,0.0008516
60,4226.54,0.58845,0.46447,1.72577,0.89173,0.9265,0.93035,0.82865,0.43728,0.38229,1.58153,0.0008318,0.0008318,0.0008318
61,4302.47,0.57116,0.44459,1.71041,0.88997,0.93617,0.93109,0.85013,0.39019,0.39036,1.49838,0.000812,0.000812,0.000812
62,4373.57,0.58149,0.45741,1.75283,0.88518,0.93941,0.92767,0.8532,0.38662,0.38482,1.53662,0.0007922,0.0007922,0.0007922
63,4441.3,0.61367,0.47134,1.69638,0.88084,0.92939,0.92889,0.85005,0.39043,0.38271,1.55409,0.0007724,0.0007724,0.0007724
64,4509.55,0.55274,0.45429,1.66825,0.88343,0.9382,0.9301,0.85439,0.35467,0.36398,1.52299,0.0007526,0.0007526,0.0007526
65,4578.37,0.574,0.45591,1.68922,0.88836,0.91876,0.92336,0.84976,0.3608,0.39534,1.51544,0.0007328,0.0007328,0.0007328
66,4645.7,0.56695,0.4433,1.71447,0.88293,0.91296,0.91773,0.8474,0.37961,0.40117,1.59979,0.000713,0.000713,0.000713
67,4713.83,0.54917,0.43935,1.72371,0.87739,0.92456,0.91561,0.8325,0.39731,0.39565,1.54637,0.0006932,0.0006932,0.0006932
68,4779.89,0.56142,0.44276,1.66969,0.88714,0.91296,0.91496,0.85269,0.38077,0.40161,1.50574,0.0006734,0.0006734,0.0006734
69,4843.13,0.5596,0.44327,1.67702,0.88088,0.92974,0.91829,0.85697,0.37842,0.3911,1.54287,0.0006536,0.0006536,0.0006536
70,4908.87,0.54371,0.42376,1.70731,0.88434,0.93174,0.91931,0.85027,0.38378,0.37621,1.52135,0.0006338,0.0006338,0.0006338
71,4968.26,0.56082,0.43854,1.70141,0.89119,0.93469,0.92412,0.86218,0.35712,0.35303,1.50876,0.000614,0.000614,0.000614
72,5062.39,0.54659,0.42393,1.66936,0.8905,0.94584,0.93033,0.85897,0.35403,0.36193,1.47539,0.0005942,0.0005942,0.0005942
73,5147.21,0.54189,0.41795,1.65115,0.8872,0.93617,0.92963,0.86163,0.34511,0.38356,1.48134,0.0005744,0.0005744,0.0005744
74,5225.17,0.52034,0.41461,1.7129,0.89117,0.93448,0.92226,0.86153,0.33472,0.38198,1.48387,0.0005546,0.0005546,0.0005546
75,5308.23,0.54941,0.42837,1.68202,0.88399,0.94331,0.9248,0.86565,0.33425,0.36193,1.4473,0.0005348,0.0005348,0.0005348
