epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.1083,1.87731,2.93021,2.75299,0.02804,0.35203,0.15715,0.08415,0.86821,2.96648,2.25203,0.00028,0.00028,0.00028
2,121.719,1.37958,2.45335,2.41372,0.05543,0.91489,0.63706,0.41026,0.80931,2.65482,1.91737,0.000568516,0.000568516,0.000568516
3,187.788,1.28551,1.74009,2.28753,0.7008,0.55271,0.65447,0.41298,0.94981,2.40515,2.21446,0.000845152,0.000845152,0.000845152
4,251.7,1.28783,1.36864,2.34464,0.77535,0.54742,0.74998,0.52301,0.91863,1.67414,2.05717,0.00110991,0.00110991,0.00110991
5,312.5,1.24292,1.26631,2.25283,0.74165,0.72739,0.75582,0.48949,0.97408,1.46058,2.09781,0.00136278,0.00136278,0.00136278
6,370.071,1.13935,1.14947,2.20901,0.76725,0.69246,0.7331,0.4934,0.91629,1.4221,1.99946,0.00160378,0.00160378,0.00160378
7,427.677,1.08923,1.12356,2.15415,0.77241,0.80077,0.79228,0.56026,0.75598,1.28993,1.88335,0.0017624,0.0017624,0.0017624
8,489.513,1.04438,1.03473,2.11278,0.80058,0.72147,0.74308,0.52226,0.84975,1.30139,2.0208,0.0017228,0.0017228,0.0017228
9,551.807,1.03961,1.02167,2.09046,0.75907,0.80271,0.80259,0.59391,0.76383,1.30044,2.01404,0.0016832,0.0016832,0.0016832
10,614.316,1.05554,1.00997,2.07484,0.82724,0.75021,0.83023,0.6013,0.76337,1.131,1.86882,0.0016436,0.0016436,0.0016436
11,676.859,1.00576,0.95055,2.09232,0.82807,0.83752,0.84566,0.63079,0.80736,1.1397,2.02488,0.001604,0.001604,0.001604
12,739.344,0.99317,0.92602,2.03243,0.75185,0.82044,0.82012,0.63609,0.70172,1.09375,1.87099,0.0015644,0.0015644,0.0015644
13,802.042,0.93241,0.88736,2.02275,0.76275,0.8472,0.82523,0.64302,0.72843,1.06234,1.90303,0.0015248,0.0015248,0.0015248
14,864.675,0.96385,0.88276,2.02029,0.85036,0.88588,0.85419,0.66222,0.60771,0.9258,1.80379,0.0014852,0.0014852,0.0014852
15,927.326,0.9231,0.8606,1.97097,0.8066,0.87814,0.8795,0.69525,0.60216,0.83959,1.73838,0.0014456,0.0014456,0.0014456
16,990.171,0.89724,0.81767,2.00032,0.79613,0.87427,0.86954,0.68511,0.61947,0.84935,1.79931,0.001406,0.001406,0.001406
17,1034.82,0.86851,0.83418,1.96566,0.84152,0.89354,0.87151,0.71932,0.57387,0.78404,1.69824,0.0013664,0.0013664,0.0013664
18,1082.53,0.89871,0.79909,1.90487,0.80953,0.86654,0.86595,0.68786,0.62189,0.80849,1.83755,0.0013268,0.0013268,0.0013268
19,1130.13,0.84649,0.76672,1.9514,0.85074,0.81579,0.85443,0.67659,0.72074,0.97516,1.90189,0.0012872,0.0012872,0.0012872
20,1174.87,0.8435,0.79907,2.01302,0.85008,0.92127,0.89822,0.74512,0.59107,0.84832,1.75295,0.0012476,0.0012476,0.0012476
21,1220,0.80523,0.74465,1.94059,0.82336,0.94667,0.91669,0.76994,0.51468,0.70759,1.68083,0.001208,0.001208,0.001208
22,1265.51,0.79975,0.7149,1.94005,0.79386,0.88642,0.90371,0.76478,0.56437,0.7252,1.69308,0.0011684,0.0011684,0.0011684
23,1311.34,0.76528,0.69139,1.8429,0.83949,0.87003,0.89835,0.75692,0.56748,0.70104,1.72217,0.0011288,0.0011288,0.0011288
24,1359.37,0.78212,0.67841,1.86859,0.86301,0.90909,0.90524,0.75054,0.55044,0.6681,1.65101,0.0010892,0.0010892,0.0010892
25,1406.65,0.74963,0.6739,1.89739,0.8505,0.89942,0.89777,0.74782,0.56582,0.67546,1.75326,0.0010496,0.0010496,0.0010496
26,1453.49,0.72063,0.64131,1.87217,0.85121,0.91103,0.90997,0.74492,0.56032,0.62945,1.68463,0.00101,0.00101,0.00101
27,1500.02,0.69897,0.65937,1.86534,0.81772,0.92263,0.90957,0.78689,0.49848,0.64771,1.67279,0.0009704,0.0009704,0.0009704
28,1548.03,0.73917,0.64116,1.88695,0.8478,0.9323,0.91475,0.7696,0.551,0.63488,1.7037,0.0009308,0.0009308,0.0009308
29,1594.87,0.76275,0.65252,1.87109,0.84511,0.90716,0.89853,0.76883,0.51065,0.66891,1.69411,0.0008912,0.0008912,0.0008912
30,1639.73,0.73084,0.62732,1.90834,0.86306,0.93864,0.91117,0.77392,0.49678,0.56189,1.60169,0.0008516,0.0008516,0.0008516
31,1685.21,0.71175,0.62096,1.87144,0.86416,0.91683,0.90811,0.79096,0.45858,0.54881,1.6108,0.000812,0.000812,0.000812
32,1746.53,0.63599,0.59177,1.76358,0.84609,0.91489,0.89316,0.76357,0.51796,0.63685,1.75315,0.0007724,0.0007724,0.0007724
33,1815.08,0.68601,0.61393,1.83506,0.86403,0.90329,0.91542,0.78238,0.49169,0.57969,1.6586,0.0007328,0.0007328,0.0007328
34,1892.04,0.68778,0.59331,1.84914,0.86978,0.93023,0.93755,0.81637,0.4271,0.54199,1.59289,0.0006932,0.0006932,0.0006932
35,1966.6,0.67037,0.5694,1.76947,0.85453,0.93424,0.93015,0.79851,0.45388,0.5757,1.60211,0.0006536,0.0006536,0.0006536
36,2046.91,0.66083,0.59064,1.78014,0.86237,0.9211,0.91623,0.79241,0.44006,0.53727,1.58615,0.000614,0.000614,0.000614
37,2123.84,0.65921,0.56525,1.76063,0.86849,0.90689,0.89962,0.78741,0.4418,0.54192,1.60443,0.0005744,0.0005744,0.0005744
38,2201.45,0.66988,0.57232,1.85475,0.86344,0.91489,0.90636,0.79855,0.41338,0.52619,1.54115,0.0005348,0.0005348,0.0005348
39,2281.52,0.63481,0.54362,1.80455,0.85505,0.93617,0.92191,0.8211,0.42367,0.51203,1.52496,0.0004952,0.0004952,0.0004952
40,2355.77,0.63884,0.55845,1.74137,0.86059,0.93135,0.9217,0.8136,0.41801,0.5156,1.50825,0.0004556,0.0004556,0.0004556
41,2431.86,0.54015,0.62575,1.61427,0.85431,0.93007,0.92145,0.79717,0.45614,0.53192,1.58856,0.000416,0.000416,0.000416
42,2507.35,0.49979,0.54172,1.51646,0.86708,0.9265,0.92093,0.80928,0.41638,0.5327,1.549,0.0003764,0.0003764,0.0003764
43,2586.02,0.5235,0.56573,1.58898,0.8602,0.9323,0.91762,0.80642,0.42761,0.5475,1.57378,0.0003368,0.0003368,0.0003368
44,2663.55,0.5059,0.56448,1.62632,0.85837,0.94004,0.91416,0.81049,0.40639,0.52566,1.53513,0.0002972,0.0002972,0.0002972
45,2740,0.50762,0.51202,1.55359,0.86137,0.93742,0.90584,0.81452,0.38407,0.51198,1.54205,0.0002576,0.0002576,0.0002576
46,2807.28,0.47253,0.51398,1.52548,0.87563,0.92843,0.91059,0.82087,0.40135,0.5081,1.52007,0.000218,0.000218,0.000218
47,2877.14,0.49261,0.50533,1.46715,0.87264,0.94096,0.91793,0.83076,0.38918,0.50226,1.52188,0.0001784,0.0001784,0.0001784
48,2952.18,0.47158,0.51643,1.62196,0.86634,0.9403,0.91961,0.82609,0.36817,0.49111,1.50519,0.0001388,0.0001388,0.0001388
49,3029.25,0.49344,0.50966,1.53884,0.87767,0.91594,0.91286,0.82319,0.3669,0.49148,1.51091,9.92e-05,9.92e-05,9.92e-05
50,3105.75,0.47565,0.53501,1.54538,0.87651,0.90909,0.91015,0.81761,0.36447,0.48671,1.51558,5.96e-05,5.96e-05,5.96e-05
